timestamp_utc,time_ms,alt_m,vel_m_s,lat,lon,state,state_name,roll_deg,pitch_deg,yaw_deg
2026-02-15T19:53:06.383Z,1394576,0.24,0.0,39.2784752,-109.0399832,2,INIT,-88.58,0.37,3.03
2026-02-15T19:53:07.385Z,1395580,0.27,0.0,39.2784748,-109.0399832,2,INIT,-88.56,0.38,3.23
2026-02-15T19:53:08.388Z,1396584,0.23,0.0,39.2784745,-109.0399832,2,INIT,-88.55,0.38,3.52
2026-02-15T19:53:09.392Z,1397588,0.27,0.0,39.2784742,-109.0399832,2,INIT,-88.51,0.37,3.76
2026-02-15T19:53:10.397Z,1398591,0.39,0.0,39.2784738,-109.0399832,2,INIT,-88.47,0.33,3.93
2026-02-15T19:53:11.400Z,1399593,0.44,0.0,39.2784737,-109.0399833,2,INIT,-88.54,0.28,4.15
2026-02-15T19:53:12.406Z,1400597,0.45,0.0,39.2784735,-109.0399835,2,INIT,-88.6,0.29,4.38
2026-02-15T19:53:13.409Z,1401601,0.53,0.0,39.2784735,-109.0399835,2,INIT,-88.49,0.29,4.35
2026-02-15T19:53:16.341Z,1403605,0.51,0.0,39.278473,-109.0399837,3,ARMED,-88.45,0.35,4.57
2026-02-15T19:53:16.341Z,1404609,0.54,0.0,39.2784728,-109.0399837,3,ARMED,-88.42,0.34,4.64
2026-02-15T19:53:17.342Z,1405611,0.62,0.0,39.2784727,-109.0399837,3,ARMED,-88.36,0.34,4.61
2026-02-15T19:53:19.352Z,1406614,0.6,0.0,39.2784727,-109.0399835,3,ARMED,-88.44,0.36,4.89
2026-02-15T19:53:19.353Z,1407616,0.61,0.0,39.2784725,-109.0399835,3,ARMED,-88.43,0.35,5.08
2026-02-15T19:53:20.355Z,1408622,0.71,0.0,39.2784723,-109.0399835,3,ARMED,-88.56,0.33,5.39
2026-02-15T19:53:21.357Z,1409624,0.75,0.0,39.2784722,-109.0399835,3,ARMED,-88.52,0.33,5.62
2026-02-15T19:53:23.366Z,1410628,0.79,0.0,39.278472,-109.0399835,3,ARMED,-88.5,0.37,5.82
2026-02-15T19:53:23.366Z,1411632,0.73,0.0,39.278472,-109.0399833,3,ARMED,-88.5,0.35,5.99
2026-02-15T19:53:24.367Z,1412638,0.78,0.0,39.2784718,-109.0399835,3,ARMED,-88.42,0.36,6.12
2026-02-15T19:53:26.375Z,1413642,0.78,0.0,39.2784715,-109.0399835,3,ARMED,-88.44,0.31,6.26
2026-02-15T19:53:26.376Z,1414644,0.79,0.0,39.2784713,-109.0399833,3,ARMED,-88.43,0.32,6.45
2026-02-15T19:53:27.378Z,1415648,0.82,0.0,39.278471,-109.0399833,3,ARMED,-88.5,0.31,6.66
2026-02-15T19:53:29.383Z,1416650,0.86,0.0,39.278471,-109.0399832,3,ARMED,-88.44,0.31,6.9
2026-02-15T19:53:30.387Z,1417654,0.83,0.0,39.2784712,-109.039983,3,ARMED,-88.43,0.31,7.21
2026-02-15T19:53:30.387Z,1418655,0.75,0.0,39.2784713,-109.0399828,3,ARMED,-88.45,0.3,7.35
2026-02-15T19:53:31.388Z,1419659,0.78,0.0,39.2784715,-109.0399827,3,ARMED,-88.39,0.29,7.59
2026-02-15T19:53:33.394Z,1420663,0.81,0.0,39.2784717,-109.0399825,3,ARMED,-88.35,0.32,7.81
2026-02-15T19:53:33.395Z,1421669,0.81,0.0,39.2784717,-109.0399823,3,ARMED,-88.41,0.31,7.95
2026-02-15T19:53:34.399Z,1422671,0.81,0.0,39.2784718,-109.0399822,3,ARMED,-88.45,0.34,8.2
2026-02-15T19:53:36.407Z,1423675,0.81,0.0,39.2784718,-109.0399822,3,ARMED,-88.53,0.37,8.41
2026-02-15T19:53:37.411Z,1424679,0.83,0.0,39.2784717,-109.039982,3,ARMED,-88.49,0.35,8.6
2026-02-15T19:53:37.411Z,1425681,0.82,0.0,39.2784715,-109.039982,3,ARMED,-88.55,0.37,8.64
2026-02-15T19:53:38.414Z,1426683,0.8,0.0,39.2784713,-109.039982,3,ARMED,-88.51,0.33,8.84
2026-02-15T19:53:40.419Z,1427687,0.77,0.0,39.2784715,-109.0399822,3,ARMED,-88.46,0.37,9.07
2026-02-15T19:53:40.420Z,1428688,0.77,0.0,39.2784715,-109.039982,3,ARMED,-88.52,0.32,9.15
2026-02-15T19:53:41.423Z,1429689,0.82,0.0,39.2784713,-109.039982,3,ARMED,-88.49,0.34,9.32
2026-02-15T19:53:43.429Z,1430693,0.84,0.0,39.2784712,-109.0399822,3,ARMED,-88.48,0.34,9.58
2026-02-15T19:53:43.429Z,1431700,0.82,0.0,39.2784707,-109.0399823,3,ARMED,-88.58,0.35,9.87
2026-02-15T19:53:44.434Z,1432701,0.77,0.0,39.2784705,-109.0399823,3,ARMED,-88.52,0.37,9.99
2026-02-15T19:53:46.441Z,1433703,0.77,0.0,39.2784702,-109.0399825,3,ARMED,-88.52,0.38,10.24
2026-02-15T19:53:47.442Z,1434705,0.79,0.0,39.27847,-109.0399827,3,ARMED,-88.51,0.42,10.45
2026-02-15T19:53:47.442Z,1435711,0.79,0.0,39.27847,-109.0399823,3,ARMED,-88.56,0.34,10.58
2026-02-15T19:53:48.445Z,1436713,0.79,0.0,39.27847,-109.0399822,3,ARMED,-88.58,0.36,10.77
2026-02-15T19:53:50.447Z,1437715,0.77,0.0,39.27847,-109.0399822,3,ARMED,-88.64,0.36,11.11
2026-02-15T19:53:50.447Z,1438720,0.85,0.0,39.27847,-109.039982,3,ARMED,-88.59,0.32,11.34
2026-02-15T19:53:51.451Z,1439725,0.87,0.0,39.2784698,-109.0399822,3,ARMED,-88.53,0.31,11.57
2026-02-15T19:53:53.454Z,1440731,0.94,0.0,39.2784697,-109.039982,3,ARMED,-88.46,0.32,11.87
2026-02-15T19:53:54.455Z,1441732,0.95,0.0,39.2784697,-109.0399817,3,ARMED,-88.55,0.32,12.18
2026-02-15T19:53:54.456Z,1442737,1.03,0.0,39.2784697,-109.0399818,3,ARMED,-88.51,0.34,12.46
2026-02-15T19:53:55.457Z,1443741,1.08,0.0,39.2784697,-109.039982,3,ARMED,-88.38,0.34,12.61
2026-02-15T19:53:57.467Z,1444747,1.08,0.0,39.2784692,-109.039982,3,ARMED,-88.39,0.35,12.79
2026-02-15T19:53:57.468Z,1445751,1.03,0.0,39.2784688,-109.0399822,3,ARMED,-88.36,0.36,13.04
2026-02-15T19:53:58.471Z,1446755,1.12,0.0,39.2784688,-109.0399822,3,ARMED,-88.33,0.34,13.12
2026-02-15T19:54:00.480Z,1447757,1.19,0.0,39.2784685,-109.0399822,3,ARMED,-88.38,0.37,13.25
2026-02-15T19:54:01.482Z,1448761,1.24,0.0,39.2784683,-109.0399822,3,ARMED,-88.4,0.34,13.47
2026-02-15T19:54:01.482Z,1449767,1.22,0.0,39.2784682,-109.0399822,3,ARMED,-88.5,0.38,13.71
2026-02-15T19:54:02.483Z,1450769,1.27,0.0,39.2784682,-109.0399822,3,ARMED,-88.58,0.36,14.14
2026-02-15T19:54:04.490Z,1451773,1.28,0.0,39.2784682,-109.0399825,3,ARMED,-88.47,0.34,14.22
2026-02-15T19:54:04.491Z,1452775,1.21,0.0,39.278468,-109.0399827,3,ARMED,-88.49,0.32,14.53
2026-02-15T19:54:05.491Z,1453781,1.32,0.0,39.278468,-109.0399828,3,ARMED,-88.44,0.35,14.75
2026-02-15T19:54:07.498Z,1454783,1.26,0.0,39.2784678,-109.0399828,3,ARMED,-88.48,0.34,14.92
2026-02-15T19:54:08.501Z,1455785,1.32,0.0,39.278468,-109.0399832,3,ARMED,-88.52,0.35,15.15
2026-02-15T19:54:09.503Z,1457793,1.28,0.0,39.2784682,-109.0399842,3,ARMED,-88.49,0.36,15.65
2026-02-15T19:54:11.510Z,1458797,1.29,0.0,39.2784683,-109.0399845,3,ARMED,-88.39,0.34,15.88
2026-02-15T19:54:11.510Z,1459800,1.31,0.0,39.2784683,-109.039985,3,ARMED,-88.42,0.34,16.17
2026-02-15T19:54:12.512Z,1460805,1.32,0.0,39.2784685,-109.0399852,3,ARMED,-88.44,0.31,16.44
2026-02-15T19:54:14.521Z,1461807,1.28,0.0,39.2784688,-109.0399852,3,ARMED,-88.46,0.28,16.58
2026-02-15T19:54:15.525Z,1462813,1.31,0.0,39.2784692,-109.0399858,3,ARMED,-88.48,0.3,16.76
2026-02-15T19:54:15.525Z,1463817,1.39,0.0,39.2784693,-109.039986,3,ARMED,-88.52,0.32,16.98
2026-02-15T19:54:17.529Z,1464821,1.29,0.0,39.2784697,-109.0399862,3,ARMED,-88.42,0.31,17.15
2026-02-15T19:54:18.533Z,1465822,1.27,0.0,39.2784697,-109.0399865,3,ARMED,-88.39,0.26,17.52
2026-02-15T19:54:18.534Z,1466827,1.24,0.0,39.2784695,-109.0399865,3,ARMED,-88.38,0.33,17.69
2026-02-15T19:54:21.542Z,1468840,1.38,0.0,39.2784695,-109.0399865,3,ARMED,-88.29,0.25,18.07
2026-02-15T19:54:22.547Z,1469844,1.43,6.51,39.2784707,-109.0399887,4,BOOST,-84.42,70.93,16.78
2026-02-15T19:54:22.548Z,1470849,65.79,63.46,39.278454,-109.0399975,4,BOOST,-85.8,180.0,10.74
